ID,Age,Gender,Employed,Graduate,Work Exp,Salary,Distance,Licence,Transport
0,29,Male,Yes,0.0,11,22.7,11.3,1,Other
1,28,Male,Yes,0.0,5,13.9,12.2,1,Other
2,31,Male,No,1.0,7,15.9,9.7,0,Public Transport
3,36,Male,Yes,1.0,16,34.8,9.2,0,Public Transport
4,24,Male,Yes,1.0,1,7.9,10.5,0,Public Transport
5,21,Male,Yes,1.0,3,9.9,11.8,0,Public Transport
6,28,Female,Yes,0.0,5,13.7,11.3,0,Public Transport
7,29,Male,Yes,0.0,9,22.8,8.9,0,Public Transport
8,28,Male,No,1.0,3,9.5,9.0,0,Public Transport
9,24,Male,Yes,0.0,0,8.0,11.0,1,Other
10,30,Male,Yes,0.0,8,14.8,14.3,0,Public Transport
11,27,Male,Yes,0.0,8,20.7,12.6,0,Public Transport
12,28,Female,Yes,0.0,5,14.6,9.0,0,Public Transport
13,32,Female,Yes,1.0,10,15.8,14.6,1,Private Transport
14,28,Male,No,0.0,6,13.8,8.6,0,Public Transport
15,33,Male,Yes,1.0,10,17.0,19.1,0,Private Transport
16,29,Male,Yes,1.0,11,25.9,9.1,0,Public Transport
17,25,Female,No,0.0,2,8.9,13.2,0,Other
18,33,Male,No,0.0,13,36.6,7.1,1,Public Transport
19,24,Male,Yes,0.0,2,8.9,16.8,0,Public Transport
20,29,Male,Yes,0.0,5,15.4,7.6,1,Public Transport
21,18,Male,Yes,0.0,0,6.8,12.2,0,Public Transport
22,29,Male,Yes,0.0,6,14.7,8.1,0,Public Transport
23,26,Male,No,0.0,4,12.6,11.5,1,Public Transport
24,35,Female,Yes,0.0,16,28.7,10.2,0,Public Transport
25,26,Male,Yes,0.0,3,10.6,9.6,0,Public Transport
26,24,Male,Yes,0.0,2,8.5,5.4,0,Public Transport
27,27,Male,Yes,0.0,6,12.6,6.5,0,Public Transport
28,26,Male,No,0.0,2,8.5,6.3,1,Public Transport
29,25,Male,Yes,1.0,3,9.7,9.9,0,Public Transport
30,27,Male,Yes,0.0,3,10.6,9.3,0,Public Transport
31,40,Male,Yes,0.0,22,51.0,14.1,1,Private Transport
32,36,Male,Yes,0.0,16,45.0,14.4,1,Private Transport
33,26,Female,Yes,0.0,4,12.6,11.0,0,Other
34,25,Male,Yes,0.0,3,9.8,8.4,0,Public Transport
35,30,Female,Yes,0.0,8,14.4,7.2,0,Public Transport
36,28,Female,No,0.0,9,23.8,11.4,0,Public Transport
37,26,Female,Yes,0.0,8,20.9,13.4,0,Other
38,27,Male,Yes,0.0,1,8.9,13.6,0,Public Transport
39,30,Male,No,1.0,8,14.6,10.0,0,Public Transport
40,25,Female,Yes,0.0,4,11.5,7.0,0,Public Transport
41,34,Male,Yes,1.0,16,36.0,17.8,1,Private Transport
42,26,Female,Yes,0.0,2,9.8,10.7,0,Other
